,RA,DEC,Region,F115,F150,F200,F277,F356,F410,F444,F606,F814,F105,F125,F140,F160,F115_ERROR,F150_ERROR,F200_ERROR,F277_ERROR,F356_ERROR,F410_ERROR,F444_ERROR,F606_ERROR,F814_ERROR,F105_ERROR,F125_ERROR,F140_ERROR,F160_ERROR,Pointing,Object,Former_Names,X,Y,PHOTOM_RED_SHIFT,Min_Chi2,Lowest_Chi2,Lowest_Chi2_Z,EW,EW277,Area,Shape,Spikes,Dust,Blue,Pure Shape,Tier,ZEEL,Cont,Spike,mass,restU,restB
5,214.9906163989831,53.005090108998345,1,17.49145493380173,14.602899323751199,18.708105222504482,25.804158586133198,34.99633285521358,17.291197761603,22.103577064482558,-0.2612795406605002,0.7556427071614131,0.0,0.0,0.0,0.0,2.9635566612008195,4.395773757657877,4.214545459066043,2.1697743017333777,1.9028843061749767,4.571505625655859,2.828141255501753,4.4839630779759325,6.1931637748609685,2887575043137.459,9508118089009.69,7722803914249.098,13545226503193.6,1,nircam1-995,857,2451.009,4141.299,6.61000000000001,7.274876591567221,"[7.274876591567221, 7.374749539899978, 7.7514946436706476, 8.3778277738045, 8.434162700052564, 8.832780869741082, 9.123516609008432, 9.403863891255655, 9.735214618134904, 9.979972423773132]","[6.61000000000001, 6.64000000000001, 6.58000000000001, 6.55000000000001, 6.670000000000011, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.400000000000008]",5667.584823018489,1860.5829140442463,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",20.279698713704995,"[356.0, 410.0, 444.0]",,18.022041,21.173513
8,214.93043780797507,52.96016951430942,2,34.03938589343219,29.660310146496396,38.533636629147075,86.1045896411778,42.23563377109131,20.289979341010465,20.17894636838953,19.977553559280782,34.511451941133345,0.0,29.274389555697777,4.105458800523873,28.870631654507623,3.543935883987288,4.163475918408244,3.125040407942039,3.342042268684431,2.7105337671387626,4.945527578547361,4.070599167511089,6.373807943335233,8.911713266349055,3641184829653.7134,7.88276498057609,14.515637048641587,7.057451621234322,1,nircam1-1455,1235,9373.938,3957.5908,4.659999999999994,45.31403035705263,"[45.31403035705263, 45.32152856415145, 45.41297709029053, 45.485443160252515, 45.49131624245127, 45.5008730892847, 45.52596600290667, 45.75845608481323, 45.97381113807879, 46.01784269648132]","[4.659999999999994, 4.269999999999991, 4.299999999999991, 4.1199999999999894, 4.599999999999993, 4.689999999999994, 4.629999999999994, 4.23999999999999, 4.329999999999991, 4.569999999999993]",2891.7646600660296,12249.735593837999,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",30.822982024927825,"[356.0, 410.0, 444.0]",,16.682127,20.843325
12,214.95115268390558,52.97340837866034,2,21.21977315123858,20.72763688855935,22.20055867829328,51.88947880787501,32.12374184301066,18.556263126288375,19.704550370342773,3.9087125169567485,18.98915016354403,0.0,19.800513342348832,2.807737777831001,22.11195785153957,2.592206277202801,2.8747606578531206,2.3446393595548307,2.3667074813360096,1.7765531035900997,3.1409520663363764,3.3022307266926547,3.600190326853069,5.130471531341766,2521262956249.6904,5.40249048170322,9.15982297659326,4.7515503434531,1,nircam1-1752,1488,7193.787,3846.8215,4.719999999999994,22.397520371958365,"[22.397520371958365, 22.430724028363134, 22.433193818215887, 22.60477829674151, 22.841447002571375, 23.0916890750245, 23.56685915151842, 24.084911019914436, 24.367027374309572, 25.326394501656953]","[4.719999999999994, 4.689999999999994, 4.749999999999995, 4.659999999999994, 4.779999999999995, 4.629999999999994, 4.599999999999993, 4.809999999999995, 4.569999999999993, 4.539999999999993]",3379.2537013390906,8976.07259426862,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",22.422087342955503,"[356.0, 410.0, 444.0]",,2.9528983,6.4053783
13,214.99814657366542,53.00598638034671,1,42.53445035381819,55.66545437068485,57.88317655553691,78.93125400119393,137.43497753870878,101.58151570389155,116.55310613554069,0.705464153120793,9.797971850726888,0.0,27.352523442558585,71.8667722406764,75.15910490033356,4.0490668161197885,5.056062650485523,3.612048432697777,2.9302564683558767,2.967192248806457,5.898079113818588,4.3366567419047435,6.56827808101046,8.562889536295089,4104354275417.23,9.647674509834339,17.277708866114374,7.724681072899039,1,nircam1-1874,1590,2016.4768,3797.1892,6.64000000000001,19.80294400289007,"[19.80294400289007, 19.806517571309566, 20.339737266467832, 20.91937210778113, 20.926752023867945, 21.380219161588013, 21.737989813879743, 22.133904796049002, 22.67340547581884, 23.28123946447559]","[6.64000000000001, 6.61000000000001, 6.58000000000001, 6.55000000000001, 6.670000000000011, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.700000000000011]",5260.253935119571,,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",82.1229013533696,"[356.0, 410.0, 444.0]",,22.648518,36.44329
14,214.92543249217456,52.95410275271041,2,43.03283132636847,40.68813889883249,42.86801859677807,82.01980745881102,57.05443108335349,43.38967905931062,41.43211586248406,2.779392120749658,30.459982992889653,0.0,24.54731865740294,20.800751022999744,25.69799849421626,3.2310402652921844,3.6473903782034878,2.7567385172908745,2.615033911883322,2.177269058725854,4.084083368309581,3.4538972344589474,4.602297683785744,6.8479513104234,3187269658937.69,6.788063525624241,11.647773698604317,6.300433601024396,1,nircam1-2015,1687,10162.924,3761.5461,4.749999999999995,26.872383293522773,"[26.872383293522773, 26.966200759522724, 27.132611473671343, 27.38135671446239, 27.551756782920492, 28.059643683665417, 28.734256996675995, 29.22035505550824, 29.230417117602887, 30.036174821299994]","[4.749999999999995, 4.779999999999995, 4.719999999999994, 4.809999999999995, 4.689999999999994, 4.659999999999994, 4.629999999999994, 4.839999999999995, 4.599999999999993, 4.569999999999993]",2148.722742860884,5689.952396165866,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",44.74420247118787,"[356.0, 410.0, 444.0]",,32.932884,37.203876
19,214.96008862164527,52.976176817258754,2,22.79607353556519,19.256811875750934,28.210307707774778,38.80412546102854,67.16904587346976,17.84159427484278,48.33604866199064,-7.592621654498384,-0.3489280223567301,0.0,31.132486241324216,-5.370789251389776,41.85097101838355,3.283218503491121,3.8144044621471127,3.1057392506709287,2.2649562298998083,2.4063874534983247,4.28638682498761,3.6707111663390726,4.34363909426503,6.543535373526799,3334319034282.9355,7.318269628463126,12.27300756132323,6.510639863969809,1,nircam1-2486,2076,6522.271,3570.4502,6.520000000000009,46.06383529754465,"[46.06383529754465, 46.067560910158505, 46.2610492025248, 46.3466093110708, 46.63938618456696, 47.1186427517098, 47.42380812440611, 47.710828671729104, 48.54668318290665, 49.29334899471142]","[6.520000000000009, 6.490000000000009, 6.460000000000009, 6.55000000000001, 6.430000000000009, 6.400000000000008, 6.58000000000001, 6.370000000000008, 6.340000000000008, 6.310000000000008]",8853.882655855128,1588.885235509781,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",31.480673448422017,"[356.0, 410.0, 444.0]",,24.291613,30.136179
39,214.9509359620925,52.957036482627636,2,42.389412725729784,56.26866984627396,63.34032591868625,107.80160066923501,164.21098401280236,95.29565135017188,124.15884454478562,1.2081351857208247,4.176636468000491,0.0,42.221736753415094,52.329316624309484,66.97322613935125,4.14636221753829,4.884266307024157,3.827930596027653,4.099495438605128,3.7441539674024473,6.401751730139345,5.599194042063725,5.888932616437893,7.131634401065915,4659284426695.175,9.671391858980666,16.91523330191066,8.855916154576661,1,nircam1-5006,4139,8700.079,2585.4158,6.58000000000001,33.67601788571838,"[33.67601788571838, 33.71633520411801, 34.05556660955197, 34.311780774163914, 34.445769373687384, 34.62351331969952, 34.766199664703336, 34.862361455326855, 34.89829565692631, 35.172832374953735]","[6.58000000000001, 6.61000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 1.0900000000000007, 1.1200000000000008, 6.430000000000009, 6.400000000000008]",6539.831830177161,1408.3357439401534,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",89.37301846583054,"[356.0, 410.0, 444.0]",,14.35342,26.820978
45,214.977657245443,52.9695438222686,2,39.31946241895471,37.3416879892003,39.3410575264321,54.10790004030135,94.29875904413849,45.40786604779263,64.50585920093788,0.4279272203810224,8.274361738880135,0.0,16.462553592019077,18.647878308445378,47.0005486332907,3.9884066274572714,4.647739363461515,3.7895918551486814,2.9663183445792844,2.6389792712456224,5.313869299394402,3.9996613592158106,5.222564856379248,6.524335834658753,4062256716517.3706,8.940427014601028,15.276521641763408,7.734161002404538,1,nircam1-6005,5177,6305.212,2087.8,6.61000000000001,19.24743456641269,"[19.24743456641269, 19.5689907594011, 20.56518602844526, 21.084176125788943, 21.247791899075175, 21.4856647994779, 21.657379472225617, 21.97754646882786, 22.40635990509682, 22.986897455179232]","[6.61000000000001, 6.58000000000001, 6.55000000000001, 6.64000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.400000000000008, 6.370000000000008]",7970.227696831686,1088.4036520235907,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",46.67063887060316,"[356.0, 410.0, 444.0]",,32.308403,40.071728
47,214.95853395613727,52.955906362694655,2,175.1885481291924,142.91680608827986,159.64343824325923,269.2382172979171,160.47401523540435,114.02956395946627,102.4538853863476,50.12815027939161,166.80065057434084,0.0,158.51633786410449,130.19162052628423,107.90952250488156,8.146432276028305,9.55417582211289,7.0534993416177425,6.373180375016749,5.887642956564543,9.323314985772758,7.82988292273096,8.022386751556486,10.430564494129113,6936058868398.489,14.407377130911918,27.938851323237078,14.043699795079133,1,nircam1-6079,5235,8447.334,2079.2498,4.659999999999994,35.21874162646168,"[35.21874162646168, 35.24926832805338, 35.50798817897416, 35.57853842236277, 35.81099319599557, 35.867479978401526, 36.35691780816964, 36.89443192994421, 37.27041940566731, 38.635301645598446]","[4.659999999999994, 4.689999999999994, 4.719999999999994, 4.629999999999994, 4.749999999999995, 4.599999999999993, 4.779999999999995, 4.569999999999993, 4.809999999999995, 4.539999999999993]",520.3297285069754,5392.6070228108365,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",150.4504743311204,"[356.0, 410.0, 444.0]",,135.67549,163.00775
51,215.0122036164221,52.9929895422551,1,52.179898385392185,33.35015424225997,41.43909226600873,80.42763418851419,59.11720917649433,36.836350817092104,38.02193290598785,-1.309337673669447,21.187525401833135,0.0,28.522475215591555,15.318624010469735,31.108495759942006,5.352729279725222,6.0908646573249134,4.705042018234702,3.9314464223474754,3.4251231866563683,6.580995573182265,4.7706427484014045,7.377059104888441,8.178091689227404,5207212209550.534,10.891818887461943,19.903239730047957,10.238629447663898,1,nircam1-6224,5355,2544.8755,2012.853,4.779999999999995,20.364588342542394,"[20.364588342542394, 20.588750519805988, 20.604012961941965, 21.002928858058176, 21.41431181211893, 21.8414915599166, 22.366454747881725, 22.368716358602654, 22.8296069520601, 23.524386860704816]","[4.779999999999995, 4.749999999999995, 4.809999999999995, 4.719999999999994, 4.689999999999994, 4.659999999999994, 4.839999999999995, 4.629999999999994, 4.599999999999993, 4.569999999999993]",2806.169182236939,5800.742202324555,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",43.4907729655392,"[356.0, 410.0, 444.0]",,39.668083,46.28014
