,RA,DEC,Region,F115,F150,F200,F277,F356,F410,F444,F606,F814,F105,F125,F140,F160,F115_ERROR,F150_ERROR,F200_ERROR,F277_ERROR,F356_ERROR,F410_ERROR,F444_ERROR,F606_ERROR,F814_ERROR,F105_ERROR,F125_ERROR,F140_ERROR,F160_ERROR,Pointing,Object,Former_Names,X,Y,PHOTOM_RED_SHIFT,Min_Chi2,Lowest_Chi2,Lowest_Chi2_Z,EW,EW277,Area,Shape,Spikes,Dust,Blue,Pure Shape,Tier,ZEEL,Cont,Spike,mass,restU,restB
2,214.94036561650185,52.97082021704719,2,39.28764702542221,30.916883578849696,38.413252162084824,82.69139052086155,62.61455194124689,36.03709013572885,49.019772115482,2.46961061380412,40.625425745912914,0.0,33.422445641642646,45.68201746031923,40.403618579113456,6.749582972228018,7.034476059052257,5.22927151804122,5.395506460658006,4.28218333444008,8.077561521240995,6.722669426146081,9.512940107572991,12.494000434551296,6926768956298.854,16.891624675585025,25.42198015142662,13.605673055124818,1,nircam1-762,653,7935.509,4239.213,4.749999999999995,6.519523822471699,"[6.519523822471699, 6.564936874860928, 6.612297348594653, 6.662193850351861, 6.697529779390139, 6.904907110321034, 7.134149451667032, 7.3233613224984175, 7.513853984216636, 7.934285115980196]","[4.749999999999995, 4.719999999999994, 4.689999999999994, 4.779999999999995, 4.659999999999994, 4.629999999999994, 4.599999999999993, 4.809999999999995, 4.569999999999993, 4.539999999999993]",3039.1509743851975,5699.981806267703,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",45.074462675992955,"[356.0, 410.0, 444.0]",,45.33958,54.544033
4,214.92393781275354,52.957912158008185,2,87.52545373485438,78.36527029883004,73.49164509718808,157.32740152060296,93.86926397032447,62.085378550136326,61.80827068682003,44.89425569853377,94.87514050792326,0.0,66.95137855253448,36.766535415049155,54.894332557799565,4.135660703722803,5.1055812255725765,3.644490341267627,3.9008309730092363,3.353254340712306,5.129149443817824,5.334740006856648,6.709173966008697,9.07635737505885,4305923447312.213,9.671237918215759,16.322737893922604,8.518757386798478,1,nircam1-972,837,9884.696,4140.0083,4.329999999999991,38.419920756178364,"[38.419920756178364, 38.57907760258965, 38.8757585378864, 39.16358109609196, 39.42511887725458, 39.639019333908905, 39.94074643756916, 40.03504702137945, 40.053259233337755, 40.062454529800675]","[4.329999999999991, 4.299999999999991, 4.359999999999991, 4.269999999999991, 4.389999999999992, 4.419999999999992, 4.569999999999993, 4.449999999999992, 4.23999999999999, 4.539999999999993]",1812.1351933271114,7273.343430207853,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",76.19088038969223,"[356.0, 410.0, 444.0]",,64.678154,75.412254
8,214.93043780797507,52.96016951430942,2,34.03938589343219,29.660310146496396,38.533636629147075,86.1045896411778,42.23563377109131,20.289979341010465,20.17894636838953,19.977553559280782,34.511451941133345,0.0,29.274389555697777,4.105458800523873,28.870631654507623,3.543935883987288,4.163475918408244,3.125040407942039,3.342042268684431,2.7105337671387626,4.945527578547361,4.070599167511089,6.373807943335233,8.911713266349055,3641184829653.7134,7.88276498057609,14.515637048641587,7.057451621234322,1,nircam1-1455,1235,9373.938,3957.5908,4.659999999999994,45.31403035705263,"[45.31403035705263, 45.32152856415145, 45.41297709029053, 45.485443160252515, 45.49131624245127, 45.5008730892847, 45.52596600290667, 45.75845608481323, 45.97381113807879, 46.01784269648132]","[4.659999999999994, 4.269999999999991, 4.299999999999991, 4.1199999999999894, 4.599999999999993, 4.689999999999994, 4.629999999999994, 4.23999999999999, 4.329999999999991, 4.569999999999993]",2891.7646600660296,12249.735593837999,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",30.822982024927825,"[356.0, 410.0, 444.0]",,16.682127,20.843325
12,214.95115268390558,52.97340837866034,2,21.21977315123858,20.72763688855935,22.20055867829328,51.88947880787501,32.12374184301066,18.556263126288375,19.704550370342773,3.9087125169567485,18.98915016354403,0.0,19.800513342348832,2.807737777831001,22.11195785153957,2.592206277202801,2.8747606578531206,2.3446393595548307,2.3667074813360096,1.7765531035900997,3.1409520663363764,3.3022307266926547,3.600190326853069,5.130471531341766,2521262956249.6904,5.40249048170322,9.15982297659326,4.7515503434531,1,nircam1-1752,1488,7193.787,3846.8215,4.719999999999994,22.397520371958365,"[22.397520371958365, 22.430724028363134, 22.433193818215887, 22.60477829674151, 22.841447002571375, 23.0916890750245, 23.56685915151842, 24.084911019914436, 24.367027374309572, 25.326394501656953]","[4.719999999999994, 4.689999999999994, 4.749999999999995, 4.659999999999994, 4.779999999999995, 4.629999999999994, 4.599999999999993, 4.809999999999995, 4.569999999999993, 4.539999999999993]",3379.2537013390906,8976.07259426862,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",22.422087342955503,"[356.0, 410.0, 444.0]",,2.9528983,6.4053783
13,214.99814657366542,53.00598638034671,1,42.53445035381819,55.66545437068485,57.88317655553691,78.93125400119393,137.43497753870878,101.58151570389155,116.55310613554069,0.705464153120793,9.797971850726888,0.0,27.352523442558585,71.8667722406764,75.15910490033356,4.0490668161197885,5.056062650485523,3.612048432697777,2.9302564683558767,2.967192248806457,5.898079113818588,4.3366567419047435,6.56827808101046,8.562889536295089,4104354275417.23,9.647674509834339,17.277708866114374,7.724681072899039,1,nircam1-1874,1590,2016.4768,3797.1892,6.64000000000001,19.80294400289007,"[19.80294400289007, 19.806517571309566, 20.339737266467832, 20.91937210778113, 20.926752023867945, 21.380219161588013, 21.737989813879743, 22.133904796049002, 22.67340547581884, 23.28123946447559]","[6.64000000000001, 6.61000000000001, 6.58000000000001, 6.55000000000001, 6.670000000000011, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.700000000000011]",5260.253935119571,,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",82.1229013533696,"[356.0, 410.0, 444.0]",,22.648518,36.44329
16,214.98875416809616,52.9980438254173,1,263.2868865465996,259.8012882652518,308.5382922021396,597.5121848360081,429.47492285199786,283.3703604717345,278.92485732581895,61.87104189986285,201.24588326088437,0.0,229.4964042502386,245.86186917439082,220.271399595791,6.32315362361416,7.435499315810967,6.099407325116547,5.761511841039992,4.316035773962866,6.998312508152357,5.227112859197816,5.886363645601926,8.695701108267832,4759330991739.12,10.032180589046437,17.549887655934572,8.78644061402744,1,nircam1-2149,1802,3181.8562,3695.287,4.689999999999994,56.38883816127317,"[56.38883816127317, 56.80314539343182, 57.05447378922356, 57.993426481835336, 58.97634221168984, 59.58617906430091, 62.59510194130067, 62.65652427112773, 63.44301782739941, 65.50324038812984]","[4.689999999999994, 4.659999999999994, 4.719999999999994, 4.629999999999994, 4.749999999999995, 4.599999999999993, 4.779999999999995, 4.569999999999993, 0.6700000000000004, 0.7000000000000004]",3227.2010128024604,6598.811500288719,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",303.8994346105904,"[356.0, 410.0, 444.0]",,37.194553,45.65433
19,214.96008862164527,52.976176817258754,2,22.79607353556519,19.256811875750934,28.210307707774778,38.80412546102854,67.16904587346976,17.84159427484278,48.33604866199064,-7.592621654498384,-0.3489280223567301,0.0,31.132486241324216,-5.370789251389776,41.85097101838355,3.283218503491121,3.8144044621471127,3.1057392506709287,2.2649562298998083,2.4063874534983247,4.28638682498761,3.6707111663390726,4.34363909426503,6.543535373526799,3334319034282.9355,7.318269628463126,12.27300756132323,6.510639863969809,1,nircam1-2486,2076,6522.271,3570.4502,6.520000000000009,46.06383529754465,"[46.06383529754465, 46.067560910158505, 46.2610492025248, 46.3466093110708, 46.63938618456696, 47.1186427517098, 47.42380812440611, 47.710828671729104, 48.54668318290665, 49.29334899471142]","[6.520000000000009, 6.490000000000009, 6.460000000000009, 6.55000000000001, 6.430000000000009, 6.400000000000008, 6.58000000000001, 6.370000000000008, 6.340000000000008, 6.310000000000008]",8853.882655855128,1588.885235509781,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",31.480673448422017,"[356.0, 410.0, 444.0]",,24.291613,30.136179
20,214.95683402976093,52.973153554657195,2,27.300727146119858,24.687039860512012,31.275357786071154,36.86919162895411,103.62619160270873,92.89150106668534,184.9745654035129,2.7355170326227416,10.39910150055923,0.0,27.052318070526034,38.109423532333864,22.111809839014995,2.837885946508889,3.1553810300684204,2.661541862588396,2.662973928529145,2.23227341543916,3.7392697620679782,3.0663525164434087,3.959503243827391,5.834904544511951,2952617125610.8286,6.502950020152415,11.091072252092184,5.525968856560639,1,nircam1-2644,2194,6950.971,3514.3655,5.860000000000004,17.345638747825596,"[17.345638747825596, 17.403563808068313, 17.528089729406748, 17.674486143456082, 17.71981773382267, 17.737928671533137, 17.776693779627188, 17.790903497277867, 17.79239999063261, 17.810408850442645]","[5.860000000000004, 5.830000000000004, 5.890000000000004, 5.950000000000005, 5.920000000000004, 6.340000000000008, 5.980000000000005, 6.370000000000008, 5.800000000000003, 6.310000000000008]",25776.09613179901,,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",52.775001515175205,"[356.0, 410.0, 444.0]",,38.076717,47.441845
36,214.93806087388248,52.95116692840257,2,15.691495034731773,12.116969543965872,18.4156941803201,47.14513242676068,35.407770754360826,17.21762607491631,19.620786063381296,9.745307874762277,14.167517291548782,0.0,18.386675348851135,24.340624535643244,42.08780819783075,3.6927788294492703,4.1655903542401305,3.220232892243569,3.1301438057851563,2.6668646326149945,4.956388599458583,4.231753883788938,6.099306612829809,6.698797957907024,3985770136451.9473,8.43639342341238,25.918928394887452,7.727075671238293,1,nircam1-4407,3608,9839.722,2837.8474,4.659999999999994,22.34957173922397,"[22.34957173922397, 22.412452571796187, 22.445815262077133, 22.558977288310725, 22.623391571153988, 22.833799596508097, 22.88712196920079, 23.22550524648458, 23.264050923507902, 23.451547687364055]","[4.659999999999994, 4.629999999999994, 4.689999999999994, 4.599999999999993, 4.719999999999994, 4.749999999999995, 4.569999999999993, 4.539999999999993, 4.779999999999995, 4.269999999999991]",5190.748547563451,8308.271974520274,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",21.27067442154206,"[356.0, 410.0, 444.0]",,11.640852,13.829018
39,214.9509359620925,52.957036482627636,2,42.389412725729784,56.26866984627396,63.34032591868625,107.80160066923501,164.21098401280236,95.29565135017188,124.15884454478562,1.2081351857208247,4.176636468000491,0.0,42.221736753415094,52.329316624309484,66.97322613935125,4.14636221753829,4.884266307024157,3.827930596027653,4.099495438605128,3.7441539674024473,6.401751730139345,5.599194042063725,5.888932616437893,7.131634401065915,4659284426695.175,9.671391858980666,16.91523330191066,8.855916154576661,1,nircam1-5006,4139,8700.079,2585.4158,6.58000000000001,33.67601788571838,"[33.67601788571838, 33.71633520411801, 34.05556660955197, 34.311780774163914, 34.445769373687384, 34.62351331969952, 34.766199664703336, 34.862361455326855, 34.89829565692631, 35.172832374953735]","[6.58000000000001, 6.61000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 1.0900000000000007, 1.1200000000000008, 6.430000000000009, 6.400000000000008]",6539.831830177161,1408.3357439401534,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",89.37301846583054,"[356.0, 410.0, 444.0]",,14.35342,26.820978
